# addr size bucket subsystem class how
004c9310     54 LEAK           gameobject/stateprop               StatePropObject                                    callers
004c9350     61 LEAK           gameobject/stateprop               StatePropObject                                    callers
004c9390     99 LEAK           gameobject/stateprop               (nearby)                                           layout-weak
004c9400    155 LEAK           gameobject/stateprop               (nearby)                                           layout-weak
004c94a0    309 LEAK           gameobject/template                (nearby)                                           layout-weak
004c95e0     95 LEAK           gameobject/template                VehicleZoneDamageProperties                        callers
004c9640     46 LEAK           gameobject/template                VehicleZoneDamageProperties                        callers
004c9670    120 LEAK           gameobject/template                ConcreteClassRep<StatePropTemplate>                callers
004c96f0     88 LEAK           gameobject/template                (module-range)                                     layout
004c9750    218 LEAK           gameobject/template                (module-range)                                     layout
004c9830    120 LEAK           gameobject/template                (module-range)                                     layout
004c98b0    117 LEAK           gameobject/template                VehicleZoneDamageProperties                        callers
004c9930    177 LEAK           gameobject/template                (nearby)                                           layout-weak
004c99f0    117 LEAK           gameobject/template                (nearby)                                           layout-weak
004c9a70   1225 LEAK           gameobject/template                (nearby)                                           layout-weak
004c9f40    148 SHR-DERIVED    atg/pure3d                         (nearby)                                           layout-weak
004c9fe0    139 SHR-DERIVED    atg/pure3d                         (nearby)                                           layout-weak
004ca070    325 SHR-DERIVED    atg/pure3d                         content::LoadInventory::DynamicCaster<pure3d::Locator> callers
004ca1c0    110 SHR-DERIVED    atg/pure3d                         content::LoadInventory::DynamicCaster<pure3d::Locator> callers
004ca230    242 LEAK           gameobject/template                HelicopterPhysicsTemplate                          callers
004ca330     13 LEAK           gameobject/template                HelicopterPhysicsTemplate                          callers
004ca340     86 LEAK           gameobject/template                HelicopterPhysicsTemplate                          callers
004ca3a0    163 LEAK           gameobject/template                HelicopterPhysicsTemplate                          callers
004ca450     37 LEAK           gameobject/template                HelicopterPhysicsTemplate                          callers
004ca480    147 LEAK           gameobject/template                (nearby)                                           layout-weak
004ca520    161 LEAK           gameobject/vehicle                 (nearby)                                           layout-weak
004ca5d0     31 LEAK           gameobject/vehicle                 (nearby)                                           layout-weak
004ca5f0     46 LEAK           gameobject/vehicle                 HelicopterObject                                   callers
004ca620      8 LEAK           gameobject/vehicle                 (nearby)                                           layout-weak
004ca630     44 LEAK           gameobject/vehicle                 (nearby)                                           layout-weak
004ca660     23 LEAK           gameobject/aivehicle               (nearby)                                           layout-weak
004ca680     36 LEAK           gameobject/aivehicle               (nearby)                                           layout-weak
004ca6b0     45 LEAK           gameobject/aivehicle               HelicopterAIBehavior                               callers
004ca6e0     43 LEAK           gameobject/aivehicle               (nearby)                                           layout-weak
004ca710     11 LEAK           gameobject/aivehicle               (nearby)                                           layout-weak
004ca720      5 LEAK           gameobject/aivehicle               (nearby)                                           layout-weak
004ca730     29 LEAK           gameobject/aivehicle               (nearby)                                           layout-weak
004ca750     14 LEAK           gameobject/aivehicle               (nearby)                                           layout-weak
004ca760     30 LEAK           gameobject/aivehicle               (nearby)                                           layout-weak
004ca780    132 LEAK           gameobject/aivehicle               (nearby)                                           layout-weak
004ca810    132 LEAK           gameobject/aivehicle               (nearby)                                           layout-weak
004ca8a0   1553 LEAK           gameobject/aivehicle               (nearby)                                           layout-weak
004caec0     80 MISSING-ENGINE engine/vehicle                     (nearby)                                           layout-weak
004caf10     31 MISSING-ENGINE engine/vehicle                     (nearby)                                           layout-weak
004caf30    362 MISSING-ENGINE engine/vehicle                     (nearby)                                           layout-weak
004cb0a0    115 MISSING-ENGINE engine/vehicle                     (nearby)                                           layout-weak
004cb120     44 MISSING-ENGINE engine/vehicle                     PlayerVehicleIntention                             vtable
004cb150     23 MISSING-ENGINE engine/vehicle                     PlayerBoatIntentionCalculator                      ctor/vtref
004cb170     21 LEAK           gameobject/vehicle                 ActiveWheeledVehicleObject                         callers
004cb190     37 MISSING-ENGINE engine/vehicle                     PlayerAirplaneIntentionCalculator                  ctor/vtref
004cb1c0     20 MISSING-ENGINE engine/vehicle                     PlayerHelicopterIntentionCalculator                ctor/vtref
004cb1e0     21 MISSING-ENGINE engine/vehicle                     (module-range)                                     layout
004cb200      7 MISSING-ENGINE engine/vehicle                     PlayerVehicleIntention                             ctor/vtref
004cb210    141 MISSING-ENGINE engine/vehicle                     (module-range)                                     layout
004cb2a0     39 MISSING-ENGINE engine/vehicle                     PlayerWheeledVehicleIntentionCalculator            ctor/vtref
004cb2d0    441 MISSING-ENGINE engine/vehicle                     PlayerWheeledVehicleIntentionCalculator            callers
004cb490    196 MISSING-ENGINE engine/vehicle                     PlayerWheeledVehicleIntentionCalculator            between
004cb560   1145 MISSING-ENGINE engine/vehicle                     PlayerWheeledVehicleIntentionCalculator            vtable
004cb9e0    858 MISSING-ENGINE engine/vehicle                     PlayerBoatIntentionCalculator                      vtable
004cbd40   1479 MISSING-ENGINE engine/vehicle                     PlayerAirplaneIntentionCalculator                  vtable
004cc310    559 MISSING-ENGINE engine/vehicle                     PlayerHelicopterIntentionCalculator                vtable
004cc540     47 LEAK           gameobject/template                VehicleArtTemplate                                 callers
004cc570     37 LEAK           gameobject/ai                      (nearby)                                           layout-weak
004cc5a0      7 LEAK           gameobject/ai                      AITask_VehicleGetIn                                callers
004cc5b0     59 LEAK           gameobject/template                ConcreteClassRep<VehicleMaterialProperties>        callers
004cc5f0     37 LEAK           gameobject/template                VehiclePhysicsTemplate                             callers
004cc620     13 LEAK           gameobject/template                VehiclePhysicsTemplate                             callers
004cc630     33 LEAK           gameobject/template                ConcreteClassRep<VehicleControllerTemplate>        callers
004cc660     30 LEAK           gameobject/template                VehicleInterpolatedFeedbackProperties              callers
004cc680     48 LEAK           gameobject/template                AirplanePhysicsTemplate                            callers
004cc6b0     36 LEAK           gameobject/template                VehicleSimpleThrustProperties                      callers
004cc6e0     40 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004cc710     96 LEAK           gameobject/template                ConcreteClassRep<VehicleDamageTransmitProperties>  callers
004cc770     28 LEAK           gameobject/template                (module-range)                                     layout
004cc790     57 LEAK           gameobject/template                VehicleZoneMeshProperties                          callers
004cc7d0     28 LEAK           gameobject/template                (module-range)                                     layout
004cc7f0     16 LEAK           gameobject/template                VehicleZoneProperties                              callers
004cc800     36 LEAK           gameobject/template                VehicleFlappingPhysicsProperties                   callers
004cc830     30 LEAK           gameobject/template                (module-range)                                     layout
004cc850     20 LEAK           gameobject/template                VehicleFlappingJointProperties                     callers
004cc870     33 LEAK           gameobject/template                VehicleZonePhysicsProperties                       callers
004cc8a0     42 LEAK           gameobject/template                VehicleZoneProperties                              callers
004cc8d0      8 LEAK           gameobject/template                VehicleZoneProperties                              callers
004cc8e0     83 LEAK           gameobject/template                (module-range)                                     layout
004cc940      5 LEAK           gameobject/template                VehicleSirenTemplate                               callers
004cc950     76 LEAK           gameobject/template                VehicleSirenTemplate                               callers
004cc9a0     15 LEAK           gameobject/template                VehicleRenderMaskTemplate                          callers
004cc9b0     24 LEAK           gameobject/template                VehicleDamageEffectProperties                      callers
004cc9d0     28 LEAK           gameobject/template                VehicleKamikazeProperties                          callers
004cc9f0     24 LEAK           gameobject/template                VehicleKamikazeProperties                          callers
004cca10    109 LEAK           gameobject/template                VehicleTargetingLocatorProperties                  callers
004cca80     14 LEAK           gameobject/template                VehicleCollisionResponseProperties                 callers
004cca90     28 LEAK           gameobject/template                VehicleDamageScaleProperties                       callers
004ccab0     67 LEAK           gameobject/template                VehicleSuspensionProperties                        callers
004ccb00     39 LEAK           gameobject/template                VehicleZoneEffectProperties                        callers
004ccb30     28 LEAK           gameobject/template                VehicleDestroyPhysicsProperties                    callers
004ccb50     59 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004ccb90     46 LEAK           gameobject/template                VehicleDamageProperties                            callers
004ccbc0     33 LEAK           gameobject/template                RandomWaterObjectTemplate                          callers
004ccbf0    168 LEAK           gameobject/template                RandomWaterObjectTemplate                          between
004ccca0      5 LEAK           gameobject/template                RandomWaterObjectTemplate                          callers
004cccb0     38 LEAK           gameobject/template                RandomWaterObjectTemplate                          callers
004ccce0     34 LEAK           gameobject/template                RandomWaterObjectTemplate                          callers
004ccd10     16 LEAK           gameobject/template                VehicleTemplate                                    callers
004ccd20     37 LEAK           gameobject/template                VehicleExhaustProperties                           callers
004ccd50     23 LEAK           gameobject/template                VehicleDirtAccumulationProperties                  callers
004ccd70     15 LEAK           gameobject/template                WakeTemplate                                       callers
004ccd80     37 LEAK           gameobject/template                AirplanePhysicsTemplate                            callers
004ccdb0     23 LEAK           gameobject/template                VehicleSeveredPartEffectProperties                 callers
004ccdd0     57 LEAK           gameobject/template                VehicleSeveredPartEffectProperties                 callers
004cce10     71 LEAK           gameobject/template                VehicleArtTemplate                                 callers
004cce60     93 LEAK           gameobject/template                (module-range)                                     layout
004ccec0     69 LEAK           gameobject/template                (module-range)                                     layout
004ccf10    135 LEAK           gameobject/template                (module-range)                                     layout
004ccfa0    109 LEAK           gameobject/template                VehicleTemplate                                    callers
004cd010    178 LEAK           gameobject/template                (nearby)                                           layout-weak
004cd0d0    106 MISSING-ENGINE engine/vehicle                     (nearby)                                           layout-weak
004cd140    228 MISSING-ENGINE engine/vehicle                     AirplaneLocomotion                                 callers
004cd230     32 LEAK           gameobject/template                VehicleInterpolatedFeedbackProperties              callers
004cd250    110 MISSING-ENGINE engine/vehicle                     AirplaneLocomotion                                 callers
004cd2c0     36 LEAK           gameobject/template                AirplanePhysicsTemplate                            callers
004cd2f0    116 LEAK           gameobject/template                VehicleArtTemplate                                 callers
004cd370     88 LEAK           gameobject/ai                      CoverManager                                       callers
004cd3d0     15 MISSING-ENGINE engine/vehicle                     AirplaneLocomotion                                 callers
004cd3e0     69 LEAK           gameobject/template                VehicleSimpleThrustProperties                      callers
004cd430    114 LEAK           gameobject/template                VehicleCharacterEntryTemplate                      callers
004cd4b0     25 LEAK           gameobject/template                VehicleCharacterEntryTemplate                      callers
004cd4d0    827 LEAK           gameobject/template                VehicleDamagePropagationProperties                 callers
004cd810     40 LEAK           gameobject/template                VehicleArtTemplate                                 callers
004cd840     38 LEAK           gameobject/template                VehicleZoneProperties                              callers
004cd870     70 MISSING-ENGINE engine/vehicle                     VehicleZoneControlBehaviour                        callers
004cd8c0     52 LEAK           gameobject/template                VehicleFlappingPhysicsProperties                   callers
004cd900     37 LEAK           gameobject/template                VehicleFlappingCategoryProperties                  callers
004cd930     44 LEAK           gameobject/template                VehicleFlappingJointProperties                     callers
004cd960     58 LEAK           gameobject/template                VehicleSirenTemplate                               callers
004cd9a0    100 LEAK           gameobject/template                VehicleSirenTemplate                               between
004cda10     59 LEAK           gameobject/template                VehicleSirenTemplate                               callers
004cda50    102 LEAK           gameobject/template                VehicleParticleTriggerProperties                   callers
004cdac0     36 LEAK           gameobject/template                VehicleDamageEffectProperties                      callers
004cdaf0     76 LEAK           gameobject/template                VehicleDamageEffectProperties                      callers
004cdb40    115 LEAK           gameobject/template                VehicleArtTemplate                                 callers
004cdbc0     47 LEAK           gameobject/template                VehicleCollisionImpulseScaleProperties             callers
004cdbf0    472 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004cddd0    116 LEAK           gameobject/template                VehicleCollisionResponseProperties                 callers
004cde50    258 LEAK           gameobject/template                VehicleSuspensionProperties                        callers
004cdf60     70 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004cdfb0    491 LEAK           gameobject/template                VehicleWaterSprayProperties                        callers
004ce1a0    188 LEAK           gameobject/vehicle                 ActiveWheeledVehicleObject                         callers
004ce260    226 LEAK           gameobject/template                VehicleTemplate                                    callers
004ce350    100 LEAK           gameobject/template                VehicleLightsTemplate                              callers
004ce3c0     89 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004ce420     28 LEAK           gameobject/template                RandomWaterObjectTemplate                          callers
004ce440    228 LEAK           gameobject/template                RandomWaterObjectTemplate                          callers
004ce530    755 LEAK           gameobject/template                (module-range)                                     layout
004ce830    155 LEAK           gameobject/template                VehicleTemplate                                    callers
004ce8d0    102 LEAK           gameobject/template                VehicleSinkingProperties                           callers
004ce940    165 MISSING-ENGINE engine/vehicle                     BoatLocomotion                                     callers
004ce9f0     74 MISSING-ENGINE engine/vehicle                     BoatLocomotion                                     callers
004cea40    124 LEAK           gameobject/template                VehicleDirtAccumulationProperties                  callers
004ceac0     98 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004ceb30     81 LEAK           gameobject/template                VehicleInWaterProperties                           callers
004ceb90    243 LEAK           gameobject/template                VehicleTemplate                                    callers
004cec90     75 LEAK           gameobject/template                VehicleArtTemplate                                 callers
004cece0     38 LEAK           gameobject/template                AirplanePhysicsTemplate                            callers
004ced10    104 LEAK           gameobject/template                VehicleArtTemplate                                 callers
004ced80    402 LEAK           gameobject/template                VehicleDamagePropagationProperties                 callers
004cef20   1386 LEAK           gameobject/template                (module-range)                                     layout
004cf490     30 LEAK           gameobject/template                VehicleZoneMeshProperties                          callers
004cf4b0     36 LEAK           gameobject/template                VehicleZoneMeshProperties                          callers
004cf4e0     35 LEAK           gameobject/template                VehicleParticleTriggerProperties                   callers
004cf510    112 LEAK           gameobject/template                VehicleCollisionImpulseScaleProperties             callers
004cf580    397 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004cf710    382 LEAK           gameobject/template                VehicleWaterSprayProperties                        callers
004cf890     75 LEAK           gameobject/vehicle                 ActiveWheeledVehicleObject                         callers
004cf8e0    208 LEAK           gameobject/vehicle                 ActiveWheeledVehicleObject                         callers
004cf9b0    476 LEAK           gameobject/vehicle                 ActiveWheeledVehicleObject                         callers
004cfb90    107 LEAK           gameobject/template                VehicleLightsTemplate                              callers
004cfc00     49 LEAK           gameobject/template                RandomWaterObjectTemplate                          callers
004cfc40    174 LEAK           gameobject/template                RandomWaterObjectTemplate                          callers
004cfcf0     94 LEAK           gameobject/template                RandomWaterObjectTemplate                          callers
004cfd50     42 LEAK           gameobject/template                VehicleSinkingProperties                           callers
004cfd80     35 LEAK           gameobject/template                VehicleInWaterProperties                           callers
004cfdb0     64 LEAK           gameobject/template                (module-range)                                     layout
004cfdf0    143 LEAK           gameobject/template                VehicleArtTemplate                                 callers
004cfe80     52 LEAK           gameobject/template                VehicleDamagePropagationProperties                 callers
004cfec0    329 LEAK           gameobject/template                VehicleDamagePropagationProperties                 callers
004d0010    256 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d0110    340 LEAK           gameobject/template                VehicleArtTemplate                                 callers
004d0270    130 MISSING-ENGINE atg/ravenphysics                   content::LoadInventory::DynamicCaster<ravenphysics::CollisionObject> ctor/vtref
004d0300     68 LEAK           gameobject/template                VehicleArtTemplate                                 callers
004d0350      9 MISSING-ENGINE engine/vehicle                     VehicleBehaviour                                   ctor/vtref
004d0360      7 MISSING-ENGINE engine/vehicle                     VehicleBehaviour                                   ctor/vtref
004d0370     31 MISSING-ENGINE engine/vehicle                     VehicleBehaviour                                   vtable
004d03c0     33 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d03f0     37 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d0450     70 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d04a0     44 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d04d0     76 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d0520    341 LEAK           gameobject/vehicle                 (nearby)                                           layout-weak
004d0680     83 MISSING-ENGINE engine/UNCLASSIFIED                (nearby)                                           layout-weak
004d06e0     86 MISSING-ENGINE engine/UNCLASSIFIED                GenericColliderTracker                             callers
004d0740      6 MISSING-ENGINE engine/UNCLASSIFIED                (nearby)                                           layout-weak
004d0750    102 MISSING-ENGINE engine/UNCLASSIFIED                (nearby)                                           layout-weak
004d07c0      8 LEAK           gameobject/vehicle                 (nearby)                                           layout-weak
004d07d0     21 LEAK           gameobject/vehicle                 (nearby)                                           layout-weak
004d07f0      9 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d0800      4 MISSING-ENGINE engine/vehicle                     VehiclePropellerBehaviour                          callers
004d0810     66 MISSING-ENGINE engine/vehicle                     (nearby)                                           layout-weak
004d0860     27 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d0880     19 LEAK           gameobject/vehicle                 ActiveVehicleObject                                between
004d08a0      7 LEAK           gameobject/vehicle                 ActiveVehicleObject                                between
004d08b0     13 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d08c0     13 MISSING-ENGINE game                               CVManager                                          callers
004d08d0     15 MISSING-ENGINE game                               CVManager                                          callers
004d08e0     21 MISSING-ENGINE game                               (nearby)                                           layout-weak
004d0900     19 MISSING-ENGINE game                               (nearby)                                           layout-weak
004d0920     30 MISSING-ENGINE game                               (nearby)                                           layout-weak
004d0940     41 MISSING-ENGINE game                               (nearby)                                           layout-weak
004d0970     41 MISSING-ENGINE game                               (nearby)                                           layout-weak
004d09a0     41 MISSING-ENGINE engine/collision                   (nearby)                                           layout-weak
004d09d0     14 MISSING-ENGINE engine/collision                   (nearby)                                           layout-weak
004d09e0     21 MISSING-ENGINE engine/collision                   (nearby)                                           layout-weak
004d0a00     28 MISSING-ENGINE engine/collision                   (nearby)                                           layout-weak
004d0a20     20 MISSING-ENGINE engine/collision                   VehicleExplosionCollisionBroker                    callers
004d0a40     21 MISSING-ENGINE engine/vehicle                     BoatLocomotion                                     callers
004d0a60     21 MISSING-ENGINE engine/vehicle                     BoatLocomotion                                     between
004d0a80     47 MISSING-ENGINE engine/vehicle                     BoatLocomotion                                     between
004d0ab0      4 MISSING-ENGINE engine/vehicle                     BoatLocomotion                                     between
004d0ac0     68 MISSING-ENGINE engine/vehicle                     BoatLocomotion                                     callers
004d0b10     26 LEAK           gameobject/ai                      (nearby)                                           layout-weak
004d0b30     46 LEAK           gameobject/ai                      CoverManager                                       callers
004d0b60     13 MISSING-ENGINE engine/vehicle                     BoatLocomotion                                     callers
004d0b70     13 MISSING-ENGINE engine/vehicle                     BoatLocomotion                                     callers
004d0b90     23 MISSING-ENGINE engine/database                    CharacterFlappingDoorBroker                        callers
004d0bb0     90 LEAK           gameobject/vehicle                 VehicleObject                                      callers
004d0c10     13 MISSING-ENGINE engine/character                   (nearby)                                           layout-weak
004d0c20      7 MISSING-ENGINE engine/character                   (nearby)                                           layout-weak
004d0c30     11 MISSING-ENGINE engine/character                   AnimationAction                                    callers
004d0c40     11 LEAK           gameobject/vehicle                 VehicleObject                                      callers
004d0c50     26 LEAK           gameobject/vehicle                 VehicleObject                                      callers
004d0c70    142 LEAK           gameobject/camera                  GenericVehicleCamera                               callers
004d0d00    129 MISSING-ENGINE engine/collision                   (nearby)                                           layout-weak
004d0d90     40 MISSING-ENGINE engine/collision                   StatePropVehicleCollisionBroker                    callers
004d0dc0     39 LEAK           gameobject/vehicle                 VehicleObject                                      callers
004d0df0     13 MISSING-ENGINE engine/vehicle                     VehicleSirenBehaviour                              callers
004d0e00     57 MISSING-ENGINE engine/vehicle                     (nearby)                                           layout-weak
004d0e40     28 LEAK           gameobject/ai                      AITask_VehicleGetIn                                callers
004d0e60     23 MISSING-ENGINE engine/vehicle                     PlayerWheeledVehicleIntentionCalculator            callers
004d0e80     28 MISSING-ENGINE engine/vehicle                     PlayerWheeledVehicleIntentionCalculator            between
004d0ea0     23 MISSING-ENGINE engine/vehicle                     PlayerWheeledVehicleIntentionCalculator            callers
004d0ec0    192 LEAK           gameobject/ai                      AITask_VehicleGetIn                                callers
004d0f80     44 MISSING-ENGINE engine/vehicle                     VehicleZoneControlBehaviour                        callers
004d0fb0     43 LEAK           gameobject/vehicle                 (nearby)                                           layout-weak
004d0fe0     79 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d1030     23 MISSING-ENGINE engine/vehicle                     BoatLocomotion                                     callers
004d1050     54 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d10b0      7 LEAK           gameobject/vehicle                 ActiveWheeledVehicleObject                         callers
004d10c0     29 LEAK           gameobject/vehicle                 ActiveWheeledVehicleObject                         callers
004d10e0    251 LEAK           gameobject/vehicle                 (module-range)                                     layout
004d11e0    291 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d1310    156 MISSING-ENGINE engine/vehicle                     BoatLocomotion                                     callers
004d13b0    112 MISSING-ENGINE engine/vehicle                     BoatLocomotion                                     callers
004d1420      7 LEAK           gameobject/vehicle                 (nearby)                                           layout-weak
004d1430      7 LEAK           gameobject/vehicle                 (nearby)                                           layout-weak
004d1440     88 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d14a0     27 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d14c0    295 LEAK           gameobject/vehicle                 (nearby)                                           layout-weak
004d15f0    143 LEAK           gameobject/stateprop               (nearby)                                           layout-weak
004d1680      8 LEAK           gameobject/stateprop               StatePropAttachmentObject                          callers
004d1690     13 LEAK           gameobject/stateprop               (nearby)                                           layout-weak
004d16d0     28 MISSING-ENGINE engine/collision                   WheelWorldCollisionBroker                          callers
004d16f0     32 LEAK           gameobject/vehicle                 (nearby)                                           layout-weak
004d1710    309 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d1850     30 LEAK           gameobject/vehicle                 ActiveVehicleObject                                between
004d1870    200 LEAK           gameobject/vehicle                 ActiveVehicleObject                                between
004d1940     26 LEAK           gameobject/vehicle                 ActiveVehicleObject                                between
004d1960    121 LEAK           gameobject/vehicle                 ActiveVehicleObject                                between
004d19e0    235 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d1ad0    221 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d1bb0    371 LEAK           gameobject/vehicle                 ActiveVehicleObject                                between
004d1d30    109 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d1da0    775 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d20b0    104 LEAK           gameobject/vehicle                 ActiveVehicleObject                                between
004d2120    100 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d2190     64 LEAK           gameobject/vehicle                 (module-range)                                     layout
004d21d0     91 LEAK           gameobject/vehicle                 VehicleObject                                      callers
004d2230     69 MISSING-ENGINE engine/vehicle                     WheelControlCalculator                             callers
004d2280    173 MISSING-ENGINE engine/vehicle                     (nearby)                                           layout-weak
004d2330    386 MISSING-ENGINE engine/vehicle                     (nearby)                                           layout-weak
004d24c0     90 LEAK           gameobject/ai                      (nearby)                                           layout-weak
004d2560     64 LEAK           gameobject/ai                      AIActionExitVehicle                                callers
004d25a0     30 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d25c0     70 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d2610    308 MISSING-ENGINE engine/UNCLASSIFIED                GenericColliderTracker                             callers
004d2750   1409 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d2dd0    220 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d2eb0     79 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d2f00    101 LEAK           gameobject/vehicle                 (nearby)                                           layout-weak
004d2f70    155 LEAK           gameobject/ai                      AITask_AvoidIncomingCar                            callers
004d3010     88 MISSING-ENGINE engine/vehicle                     WheelControlCalculator                             callers
004d3070    137 MISSING-ENGINE engine/vehicle                     (nearby)                                           layout-weak
004d3100    624 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d3370    116 MISSING-ENGINE engine/UNCLASSIFIED                GenericColliderTracker                             ctor/vtref
004d33f0    295 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d3520      5 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d3530    133 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d35c0   1009 LEAK           gameobject/vehicle                 ActiveVehicleObject                                between
004d39c0    325 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d3b10    206 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d3be0    147 MISSING-ENGINE engine/vehicle                     BoatLocomotion                                     callers
004d3c80    137 LEAK           gameobject/vehicle                 VehicleObject                                      callers
004d3d10     45 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d3d40    356 LEAK           gameobject/vehicle                 ActiveVehicleObject                                between
004d3f90     80 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d3fe0     50 MISSING-ENGINE engine/collision                   VehicleExplosionCollisionBroker                    callers
004d4020    398 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d41b0    249 LEAK           gameobject/vehicle                 ActiveVehicleObject                                between
004d42b0    138 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d4340   1946 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d4ae0    243 MISSING-ENGINE engine/collision                   StatePropVehicleCollisionBroker                    callers
004d4be0   1722 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d52a0   1257 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d5790   1296 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d5ca0    180 LEAK           gameobject/vehicle                 ActiveVehicleObject                                between
004d5d60   1123 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d61d0      5 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d61e0     16 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d61f0    456 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
004d63c0    506 MISSING-ENGINE lib/fight                          FightVolumeVehicleBroker                           callers
004d65c0    177 MISSING-ENGINE engine/collision                   VehicleBulletCollisionBroker                       callers
004d6680    197 MISSING-ENGINE engine/collision                   VehicleExplosionCollisionBroker                    callers
004d6750    764 MISSING-ENGINE engine/collision                   VehicleExplosionCollisionBroker                    callers
004d6a50     18 THIRD-PARTY    CRT+STL-inlined                    std::locale::facet                                 symname
004d6a70      7 MISSING-ENGINE engine/vehicle                     VehicleLocomotion                                  ctor/vtref
004d6a80     15 MISSING-ENGINE engine/vehicle                     VehicleLocomotion                                  vtable
004d6a90     31 MISSING-ENGINE engine/vehicle                     VehicleLocomotion                                  vtable
004d6ab0    674 MISSING-ENGINE engine/vehicle                     (module-range)                                     layout
004d6d60     80 MISSING-ENGINE engine/vehicle                     AirplaneLocomotion                                 callers
004d6db0     22 MISSING-ENGINE engine/collision                   PlaneCollisionCalculator                           vtable
004d6dd0      7 MISSING-ENGINE engine/collision                   WheelCollisionCalculator                           ctor/vtref
004d6de0      4 MISSING-ENGINE engine/collision                   WheelCollisionCalculator                           vtable
004d6df0     21 MISSING-ENGINE engine/collision                   WheelCollisionCalculator                           vtable
004d6e10     74 MISSING-ENGINE engine/collision                   WheelCollisionCalculator                           vtable
004d6e60     16 MISSING-ENGINE engine/vehicle                     WheelControlCalculator                             ctor/vtref
004d6e70      7 MISSING-ENGINE engine/vehicle                     WheelControlCalculator                             ctor/vtref
004d6e80     67 MISSING-ENGINE engine/vehicle                     BoatLocomotion                                     callers
004d6ed0     31 MISSING-ENGINE engine/vehicle                     BoatLocomotion                                     callers
004d6ef0     17 MISSING-ENGINE engine/collision                   PlaneCollisionCalculator                           ctor/vtref
004d6f10     30 MISSING-ENGINE engine/collision                   PlaneCollisionCalculator                           ctor/vtref
004d6f30     55 MISSING-ENGINE engine/collision                   WheelCollisionCalculator                           ctor/vtref
004d6f70   1137 MISSING-ENGINE engine/vehicle                     AirplaneLocomotion                                 callers
004d73f0   1060 MISSING-ENGINE engine/vehicle                     AirplaneLocomotion                                 callers
004d7820    316 MISSING-ENGINE engine/vehicle                     BoatLocomotion                                     callers
004d7960    120 MISSING-ENGINE engine/vehicle                     (module-range)                                     layout
004d79e0    199 MISSING-ENGINE engine/vehicle                     (module-range)                                     layout
